# msamtools version 1.1.3
# Command: msamtools profile --multi=proportional --label=170D8_viral_long --unit=ab --nolen -o mapping/170D8/rest_long_ab_profile.txt.gz -
# Total inserts       :      NA (    NA%)
# Mapped inserts      : 6998814 (    NA%)
#   - Multiple mapped :   11847 (    NA%)
#   - Uniquely mapped : 6986967 (    NA%)
# Purged inserts      :      NA (    NA%) due to ambiguous mapping or low abundance features
# Effective inserts   : 6998814 (    NA%)
# Estimated seq. length for 'Unknown': NA
170D8_viral_long
Unknown	0
1	734056.5
2	513564.73
3	493631.23
4	364413.59
5	413785.94
6	308227.88
7	264691.68
8	299597.97
9	281115.01
10	217162.13
11	222542.03
12	209843.15
13	163359.61
14	153264.46
15	181741.24
16	0
17	123619.19
18	159738.82
19	125186.54
20	144767.94
21	115272.86
22	128026.33
23	61456.563
24	111351.03
25	99002.294
26	105706.01
27	74080.761
28	76065.714
29	59487.285
30	0
31	65181.379
32	61469.412
33	67832.759
34	65602.821
35	55317.605
36	0
37	50058.838
38	40115.429
39	37881.45
40	32503.316
41	29605.653
42	29216.16
43	26873.623
44	18541.287
45	22326.379
46	21151.059
47	14592.754
48	12987.009
49	0
50	8407.5309
51	7539.0164
52	7035.0588
53	21431.13
54	4274.4221
55	2481.984
56	2658.2013
57	9791.7971
58	4411.4576
59	8593.6235
60	16742.835
61	9014.6657
62	7021.3446
63	2421.1808
64	4648.7821
65	1317.7215
66	1899.1725
67	8552.8977
68	7565.1626
69	945.88382
70	3589.7354
71	1676.5505
72	250.66744
73	249.23738
74	278.5159
